Date,Product_Category,Product_Name,Quantity,Unit_Price,Total_Amount,Discount_Percent,Sales_Rep,Region,Customer_Type,Payment_Method
2023-06-26,Clothing,Dress,13,58.34,758.42,2.9,Jack Anderson,East,Individual,Check
2023-05-31,Sports,Running Shoes,13,475.32,6179.14,2.4,Jack Anderson,East,Government,Cash
2023-05-17,Home & Garden,Bedding,12,84.06,1008.75,6.3,Bob Smith,Central,Government,Cash
2023-04-23,Toys,Doll,19,193.58,3678.02,12.0,Carol Davis,Central,Business,Credit Card
2023-06-07,Sports,Sports Apparel,4,179.9,719.59,27.9,David Wilson,North,Individual,Credit Card
2023-06-23,Home & Garden,Plants,8,215.64,1725.13,6.7,Alice Johnson,Central,Government,Cash
2023-04-08,Electronics,Headphones,4,339.46,1357.84,7.5,Ivy Chen,West,Individual,Check
2023-04-06,Sports,Supplements,17,85.05,1445.81,2.4,Bob Smith,Central,Individual,Cash
2023-04-15,Toys,Doll,11,206.49,2271.43,28.0,Frank Miller,South,Business,Check
2023-05-06,Sports,Sports Apparel,12,55.11,661.32,26.4,Frank Miller,East,Individual,Check
2023-04-01,Sports,Gym Equipment,8,343.37,2746.95,25.9,Grace Lee,North,Individual,Bank Transfer
2023-06-03,Toys,Educational Toy,4,247.25,989.02,21.6,Ivy Chen,East,Government,Check
2023-04-23,Clothing,T-Shirt,4,342.92,1371.69,23.4,Carol Davis,Central,Business,Credit Card
2023-06-19,Home & Garden,Kitchenware,3,311.82,935.46,12.4,Ivy Chen,West,Business,Credit Card
2023-04-19,Clothing,Jacket,9,87.78,790.04,11.4,Henry Taylor,East,Business,Check
2023-05-07,Toys,Action Figure,2,303.92,607.85,22.6,David Wilson,North,Government,Cash
2023-04-22,Clothing,Jeans,4,201.09,804.37,16.9,Henry Taylor,East,Business,Cash
2023-05-06,Home & Garden,Tools,19,381.23,7243.3,8.1,Bob Smith,East,Business,Cash
2023-05-22,Books,Cookbook,20,139.58,2791.65,21.0,Ivy Chen,North,Government,Cash
2023-05-04,Electronics,Smartphone,16,302.41,4838.48,16.7,Henry Taylor,West,Business,Credit Card
2023-05-09,Home & Garden,Plants,15,158.1,2371.52,8.1,David Wilson,North,Government,Cash
2023-05-10,Home & Garden,Tools,6,160.42,962.51,29.0,Henry Taylor,North,Individual,Check
2023-06-18,Books,Biography,4,128.72,514.89,25.7,Grace Lee,West,Business,Check
2023-05-20,Toys,Board Game,10,215.4,2153.97,15.3,Grace Lee,West,Business,Cash
2023-06-02,Books,Self-Help,1,128.96,128.96,8.5,Jack Anderson,Central,Government,Check
2023-06-18,Books,Cookbook,13,253.91,3300.83,19.5,Ivy Chen,West,Business,Check
2023-05-28,Sports,Running Shoes,8,253.37,2026.99,18.9,David Wilson,North,Business,Credit Card
2023-06-17,Sports,Sports Apparel,3,268.2,804.6,27.3,Grace Lee,South,Individual,Cash
2023-05-12,Sports,Sports Apparel,9,202.82,1825.38,24.9,Henry Taylor,East,Government,Bank Transfer
2023-04-26,Electronics,Headphones,5,372.81,1864.04,22.6,Grace Lee,Central,Business,Credit Card
2023-05-24,Home & Garden,Furniture,20,367.27,7345.39,12.2,Alice Johnson,East,Individual,Check
2023-04-19,Books,Textbook,15,471.1,7066.48,2.8,Jack Anderson,North,Individual,Bank Transfer
2023-05-02,Electronics,Laptop,12,56.91,682.89,23.7,Jack Anderson,East,Individual,Cash
2023-05-21,Electronics,Laptop,5,164.53,822.64,2.0,Jack Anderson,Central,Government,Bank Transfer
2023-06-08,Sports,Sports Apparel,9,19.09,171.79,21.1,Frank Miller,East,Individual,Cash
2023-04-10,Clothing,T-Shirt,4,218.73,874.91,15.9,Frank Miller,East,Government,Cash
2023-05-21,Clothing,Jacket,15,35.23,528.42,18.9,Jack Anderson,North,Business,Credit Card
2023-05-27,Books,Biography,2,205.84,411.67,11.1,Bob Smith,North,Government,Check
2023-06-25,Sports,Gym Equipment,15,464.4,6966.03,3.1,Bob Smith,Central,Government,Cash
2023-06-20,Sports,Outdoor Gear,20,110.14,2202.71,26.2,Bob Smith,Central,Government,Cash
2023-05-26,Books,Self-Help,17,348.35,5921.95,25.5,Bob Smith,South,Business,Check
2023-04-24,Sports,Gym Equipment,3,298.76,896.27,28.4,Henry Taylor,East,Individual,Check
2023-06-26,Books,Cookbook,12,287.2,3446.36,23.7,David Wilson,North,Government,Bank Transfer
2023-04-14,Clothing,T-Shirt,15,356.86,5352.87,1.1,Alice Johnson,South,Individual,Bank Transfer
2023-06-01,Sports,Sports Apparel,3,150.93,452.78,9.8,Eva Brown,West,Government,Check
2023-06-30,Clothing,Jacket,2,142.52,285.04,21.8,Jack Anderson,West,Business,Credit Card
2023-06-07,Clothing,Jeans,17,218.56,3715.48,14.0,Henry Taylor,North,Individual,Check
2023-05-16,Books,Self-Help,4,12.2,48.78,12.9,Frank Miller,West,Business,Credit Card
2023-05-28,Home & Garden,Furniture,7,257.96,1805.72,10.9,Bob Smith,West,Government,Check
2023-06-03,Sports,Sports Apparel,20,69.75,1394.95,22.2,Jack Anderson,East,Government,Check
2023-06-16,Toys,Action Figure,17,333.7,5672.84,6.2,Henry Taylor,Central,Business,Bank Transfer
2023-06-02,Clothing,Dress,8,203.4,1627.2,28.2,Eva Brown,South,Government,Check
2023-04-29,Books,Fiction Novel,3,365.87,1097.62,19.6,Ivy Chen,North,Individual,Check
2023-04-06,Clothing,T-Shirt,13,380.75,4949.72,23.6,Eva Brown,North,Individual,Bank Transfer
2023-04-09,Electronics,Tablet,19,317.06,6024.11,20.2,Carol Davis,Central,Government,Check
2023-04-05,Home & Garden,Plants,13,136.41,1773.39,20.1,Carol Davis,West,Business,Cash
2023-06-18,Electronics,Tablet,15,153.19,2297.84,22.6,Eva Brown,Central,Government,Credit Card
2023-04-24,Toys,Action Figure,10,287.36,2873.57,11.0,David Wilson,South,Business,Cash
2023-06-28,Home & Garden,Tools,18,47.35,852.38,4.0,Bob Smith,South,Government,Check
2023-04-30,Sports,Running Shoes,2,114.24,228.48,12.1,Ivy Chen,South,Individual,Cash
2023-04-08,Clothing,Dress,1,148.49,148.49,6.4,Bob Smith,West,Individual,Cash
2023-06-13,Sports,Outdoor Gear,16,183.88,2942.14,22.8,David Wilson,East,Business,Check
2023-05-06,Books,Textbook,8,94.04,752.32,11.4,Henry Taylor,Central,Government,Bank Transfer
2023-04-02,Sports,Sports Apparel,14,13.95,195.3,24.2,Bob Smith,North,Government,Cash
2023-05-17,Clothing,Jeans,9,236.97,2132.77,24.5,Grace Lee,North,Business,Check
2023-04-02,Electronics,Tablet,19,361.69,6872.06,19.7,Frank Miller,North,Individual,Cash
2023-05-04,Toys,Puzzle,10,442.48,4424.8,4.9,Jack Anderson,West,Government,Bank Transfer
2023-06-27,Home & Garden,Kitchenware,3,337.65,1012.94,15.0,Alice Johnson,North,Business,Cash
